"Symbol","n","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval"
"ATXN7L1",1,130.2,0.00345,524.9,0,1846.2,0,495,0
"ATXN7L2",1,122.9,0.02414,1207.1,0,1612.4,0,159.9,0.01724
"ATXN8OS",1,102.6,0.87586,299.3,0.16207,294.4,0.6069,129.2,0.34828
"AUH",1,643.8,0,9733.3,0,11598.7,0,1249.3,0
"AUP1",1,3059.7,0,13810.3,0,15048.2,0,4402.9,0
"AURKA",2,2280.7,0,20806.75,0,25033.65,0,2441.45,0
"AURKAIP1",1,5316.9,0,20188.2,0,21318.7,0,6532.8,0
"AURKAPS1",1,146.1,0,532.8,0,528.8,0.0069,155.5,0.02414
"AURKB",1,187.1,0,11088.6,0,9937.9,0,168.7,0.01379
"AURKC",3,145.233333333333,0.216093333333333,490.766666666667,0.212643333333333,442.833333333333,0.283906666666667,149.633333333333,0.200003333333333
"AUTS2",1,266.4,0,689.8,0,11608.8,0,2209.4,0
"AVEN",1,1467.7,0,11344,0,13201.3,0,2581.2,0
"AVIL",1,134.2,0,634.6,0,484.1,0.0069,163,0.01724
"AVL9",2,292.75,0,7443.85,0,6949.7,0,298.2,0
"AVP",2,122.1,0.15517,308.95,0.203445,339.95,0.36724,155,0.46724
"AVPI1",1,9003.3,0,29793.8,0,24034,0,10805.1,0
"AVPR1A",1,108,0.58621,252.2,0.92414,299.3,0.54483,136.7,0.21724
"AVPR1B",1,100.6,0.92759,285.6,0.32414,286.9,0.72069,125,0.4931
"AVPR2",1,122.1,0.03103,314.9,0.06207,372.2,0.02414,141.5,0.12069
"AWAT2",1,103.4,0.83448,263,0.72069,242.9,1,124.5,0.50345
"AXIN1",2,224.5,0,2855.3,0,4113,0,440.95,0.001725
"AXIN2",1,178.6,0,1701.2,0,4663.1,0,317.8,0
"AXL",2,203.1,0,2268.1,0,3220.9,0,325.4,0
"AXUD1",1,4581.9,0,22269.5,0,11002.5,0,1377.2,0
"AZGP1",1,130.1,0.00345,287.3,0.3,313.7,0.32414,116.1,0.86207
"AZI1",2,1013.9,0,4734.5,0,5702.5,0,1586.65,0.001725
"AZI2",1,184.2,0,5684.3,0,6697.2,0,234.8,0
"AZIN1",3,1603.4,0,12727.6,0,17904.9,0,3434.5,0
"AZU1",1,138.9,0,1248.6,0,340.6,0.12069,119.3,0.68966
"B2M",2,3969,0,14503.35,0,19260.1,0,7988.3,0
"B3GALNT1",3,138.733333333333,0.0287366666666667,339.6,0.286206666666667,8359.26666666667,0,728.633333333333,0
"B3GALNT2",1,2949.9,0,10128.4,0,9113.9,0,3195.3,0
