"","GSM1385013.REP1","GSM1385014.REP2","GSM1385015.REP2","GSM1385016.CTRL","GSM1385017.CBD"
"HPCA",-1.06579258,-1.3491873,-0.94403179,6.9303,6.676782
"CYP4F11",-0.7379197,-1.2616075,-0.6571755,3.1484,3.313889
"HEXIM2",-0.43612643,-0.4707061,-0.48276042,9.4645,9.266913
"RAB14",1.08244977,0.0957874,-0.15286225,6.0654,5.874528
"PTPN12",0.66362472,1.4531622,1.73567415,12.0364,12.067772
"SLC26A1",-1.70208943,-1.411489,-0.72367264,10.2749,10.22956
"STK32B",0.36204962,-0.251061,1.26126161,2.8733,2.975039
"CLSTN1",-0.03942237,-0.3896093,-0.64875938,11.0559,11.00735
"TRIM32",0.19549858,-1.02415,-0.66894095,8.5967,8.476415
"FAM71D",-0.9476648,0.1682853,0.58239958,3.1009,2.669062
"FSTL3",-0.36430741,0.5562599,0.41228714,8.1939,8.21753
"PHF19",-0.05605144,-0.7409923,-0.7389921,9.2603,9.247414
"GAS8",-0.78773263,-0.1567852,-0.18324989,7.2429,7.064099
"CHST2",-0.65496311,-1.8587968,-2.40199245,6.6276,6.766768
"RBMX2",0.4245522,0.1591624,0.42264328,7.0923,7.097618
"C11orf9",0.38005391,-0.224788,-0.06825172,9.2117,9.220993
"JPH1",0.50075955,-0.911478,-0.91806423,3.3128,3.679091
