"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"NPBWR1",144.8,-171.5,2.30098831985624,0.396763981709462,111.3,0.39655,256.1,0.86552,284.3,0.76207,112.8,0.93793,"NPBWR1",1
"NPBWR2",187.7,-176.1,2.61810344827586,0.392339544513458,116,0.15862,303.7,0.13103,289.8,0.68276,113.7,0.92759,"NPBWR2",1
"NPC1",11268.2,-14517.6,11.6787338893101,0.0837624962132687,1055.2,0,12323.4,0,15844.8,0,1327.2,0,"NPC1",1
"NPC1L1",213.5,-243.1,3.14572864321608,0.351041110517886,99.5,0.94483,313,0.06897,374.6,0.02414,131.5,0.31034,"NPC1L1",1
"NPC2",22674.3,-22263.8,3.03616264659926,0.36317090193476,11135.8,0,33810.1,0,34960.4,0,12696.6,0,"NPC2",1
"NPDC1",4667.7,-4661.2,7.2310772927513,0.249259116093287,749.1,0,5416.8,0,6208.8,0,1547.6,0,"NPDC1",1
"NPEPL1",12217.9,-9631.3,4.38090099064696,0.35211693955253,3613.8,0,15831.7,0,14865.8,0,5234.5,0,"NPEPL1",1
"NPEPPS",6580.4,-5855.5,2.86508701320787,0.347358448506465,3528.2,0,10108.6,0,8972,0,3116.5,0,"NPEPPS",1
"NPFF",230.6,-243.4,2.85817888799355,0.355402542372881,124.1,0.02069,354.7,0.00345,377.6,0.01724,134.2,0.26897,"NPFF",1
"NPFFR1",205.8,-157.3,2.94701986754967,0.449229691876751,105.7,0.74138,311.5,0.07241,285.6,0.74828,128.3,0.36897,"NPFFR1",1
"NPFFR2",155.966666666667,-195.4,2.38227474150665,0.41162300511894,112.833333333333,0.314943333333333,268.8,0.657473333333333,332.1,0.228736666666667,136.7,0.218393333333333,"NPFFR2",3
"NPHP1",4197.53333333333,-2459.43333333333,12.3826267739311,0.125835268470689,368.766666666667,0.164366666666667,4566.3,0.0563233333333333,2813.46666666667,0.188506666666667,354.033333333333,0.272413333333333,"NPHP1",3
"NPHP3",11928.6,-10991.8,11.1892884598958,0.100433750716098,1170.7,0,13099.3,0,12219,0,1227.2,0,"NPHP3",1
"NPHP4",1835.6,-2604.55,9.01747106355099,0.12597526804141,228.95,0,2064.55,0,2979.95,0,375.4,0,"NPHP4",2
"NPHS1",191.8,-181.9,2.62818336162988,0.429064657878217,117.8,0.11034,309.6,0.08621,318.6,0.26552,136.7,0.21724,"NPHS1",1
"NPHS2",170,-214.3,2.65369649805448,0.362771335117455,102.8,0.86897,272.8,0.54828,336.3,0.13448,122,0.59655,"NPHS2",1
"NPIP",8438.2,-10283.2,19.9793072424651,0.0803627322971257,444.6,0,8882.8,0,11181.8,0,898.6,0,"NPIP",1
"NPL",786.25,-2587.75,3.57280759162304,0.203413830786043,305.6,0,1091.85,0,3248.55,0,660.8,0,"NPL",2
"NPLOC4",11765.2,-10881.1,4.55583764016079,0.400252441739974,3308.7,0,15073.9,0,18142.8,0,7261.7,0,"NPLOC4",1
"NPM1",6349.8,-5470.1,31.9897510980966,0.032542756583718,204.9,0,6554.7,0,5654.1,0,184,0.00345,"NPM1",1
"NPM2",160.4,-246.8,2.31367731367731,0.337627482555019,122.1,0.03103,282.5,0.34483,372.6,0.02414,125.8,0.46897,"NPM2",1
"NPM3",13745.9,-13075.6,12.2569814102039,0.122778534386174,1221.1,0,14967,0,14905.7,0,1830.1,0,"NPM3",1
"NPNT",150.4,-197.4,2.18518518518519,0.47233360064154,126.9,0.01034,277.3,0.45862,374.1,0.02414,176.7,0.00345,"NPNT",1
"NPPA",181.8,-197.5,2.63931469792606,0.349472990777339,110.9,0.4069,292.7,0.22414,303.6,0.43448,106.1,0.98966,"NPPA",1
"NPPB",228.3,-375.5,3.13165266106443,0.235856735856736,107.1,0.64828,335.4,0.01379,491.4,0.0069,115.9,0.87241,"NPPB",1
"NPPC",240.4,-623.8,3.10323709536308,0.185745986163686,114.3,0.22414,354.7,0.00345,766.1,0,142.3,0.11034,"NPPC",1
"NPR1",163.9,-240.5,2.47127468581688,0.348415063668383,111.4,0.38621,275.3,0.5,369.1,0.02414,128.6,0.35862,"NPR1",1
"NPR2",1375.9,-2920,8.09958720330237,0.139658220388922,193.8,0,1569.7,0,3394,0,474,0,"NPR2",1
"NPR3",139.7,-1270.8,1.77870680044593,0.136274043363012,179.4,0,319.1,0.04828,1471.3,0,200.5,0.00345,"NPR3",1
"NPS",183.6,-171.3,2.82868525896414,0.442926829268293,100.4,0.93103,284,0.34138,307.5,0.37931,136.2,0.22414,"NPS",1
"NPSR1",155.433333333333,-141.166666666667,2.39987991594116,0.488279362010633,111.033333333333,0.41264,266.466666666667,0.51954,275.866666666667,0.75862,134.7,0.378163333333333,"NPSR1",3
"NPTN",7395.4,-8058.33333333333,3.46379193550178,0.401208728605751,3001.63333333333,0.00574666666666667,10397.0333333333,0.00115,13457.6666666667,0.0023,5399.33333333333,0.01954,"NPTN",3
"NPTX1",1241.1,-8256.85,6.88896797153025,0.0299924225959364,210.75,0.001725,1451.85,0,8512.15,0,255.3,0.006895,"NPTX1",2
"NPTX2",-8.29999999999995,-211.7,0.969862018881627,0.369752902649598,275.4,0,267.1,0.63448,335.9,0.13793,124.2,0.5069,"NPTX2",1
"NPTXR",5287.2,-1070.5,34.3156899810964,0.101854182397852,158.7,0,5445.9,0,1191.9,0,121.4,0.62759,"NPTXR",1
"NPVF",160.1,-174.1,2.3801724137931,0.428805774278215,116,0.15862,276.1,0.47931,304.8,0.42414,130.7,0.32414,"NPVF",1
