"GSM4027437","GSM4027439","GSM4027441","GSM4027442","GSM4027444","GSM4027446","Symbol"
-16.5,-11.4,-8,-9,-7,-16.1,"UCN2"
5.9,10.3,12.8,4.2,2.1,21.9,"DC36"
-2.2,-13.2,-10.5,7.7,23.6,-9.9,"OR1S1"
-9.2,-0.6,7.5,13.9,-9.4,14,"CXorf30"
-13.9,7,-2.7,16.9,4.7,4,"LOC642268"
-20.5,-19.9,-13.3,-14.1,10.3,-15.1,"CA1"
88.6,102.4,60.3,50.7,-3.3,-2.4,"MTHFD2L"
-3.4,1,-2.5,5,1.3,-7.2,"LOC646029"
8.8,1.6,-6.5,8.8,22.4,44.2,"KRTAP3-1"
140.5,135.8,594.8,758.5,337.6,279.1,"RAC1"
-0.9,17.4,11.4,15.8,26.3,-6.1,"LOC647509"
123,150.3,86.9,89.8,308.2,286.4,"TMEM98"
88.6,91.6,84.7,87.3,247.2,177.5,"LOC654161"
-3.9,-10.6,-3.9,3.6,-2.7,4,"PARD3B"
-11.7,-8.1,-10.1,-2.1,-3.4,-3.1,"TUBA3E"
-7.9,-17.7,-10.5,-5.2,1.6,-5,"SLC26A4"
-18,5.4,-6,-18.9,2.2,-14.4,"LOC644366"
18.4,21.2,20.2,2.5,22.8,7.3,"LOC648302"
51.8,52.8,45.6,36.7,21.3,8.8,"BRAF"
165,147.7,176.4,201.4,354.8,296.4,"THAP7"
204.4,213.3,186.1,180.1,82.7,52.1,"RIOK1"
1,0.4,-8.2,-0.4,-8.1,-3.6,"LOC644883"
99.1,101.7,195.9,219.4,160.2,135.2,"MANSC1"
17.2,-5.1,-4.7,-2.7,26.6,23.7,"FAM139A"
722.7,627.7,1163.9,1084.8,1369.4,1611.6,"APEX2"
-2.3,-6.1,-1.8,48.8,-17.1,11,"LOC646870"
969.9,965,557.6,490.9,279.5,288,"C2CD2"
143.3,126.8,237.1,184.5,21.5,63.7,"MTMR9"
265.8,301.6,241.5,188.6,536.5,526.1,"FAM125B"
0.5,-19.4,-12.6,-8.2,-0.6,-11.4,"LOC644808"
58.9,39.8,92.1,89.3,30.9,31.6,"DKFZp434K191"
135.3,118.1,72.3,26.3,214.2,186,"RELL2"
1.8,-0.1,15.9,-9.1,8.6,22.4,"DTNA"
2,-0.4,-8.1,-6.5,14.6,-5.2,"LOC647681"
6.9,-9.2,-8.4,-14.7,6.9,39.5,"LRRC4B"
-2.5,9.8,-10,-0.2,8.6,-4.3,"USP32"
-13.4,-8.3,-14.5,-0.1,-8.4,5.5,"TSHB"
208.1,267.6,439.7,471.4,572.8,613.7,"POLD1"
202,239.8,158.8,173.2,463.6,450.6,"ACTR5"
19.6,30.3,25.8,27,34.4,28.4,"C11orf35"
7.9,7.7,21.9,69.4,10.5,19.8,"GGT1"
10.4,4.4,5.3,-12.3,-11.4,6.8,"RGNEF"
-3.5,-12.5,0,-8.7,-15.1,6.9,"LOC642538"
-7.1,0.4,-7.2,-2.7,-7.9,13.2,"LOC375295"
522.4,539,101.5,95.9,880.6,852.6,"GLIPR2"
167.4,174,244.7,236.6,2.5,-2.2,"LRRC58"
0.5,1.8,-6.1,1.5,16.2,3.9,"LOC652173"
-9.7,9.6,23.8,-7.8,-9,-9.6,"LOC441196"
14,14.7,20.6,15.4,27.3,54.3,"INPP4A"
11.2,0.8,29.7,12,2.2,2.7,"LOC643722"
0.5,-4.1,-3.2,-3.5,-4.7,1.7,"SH3KBP1"
7.3,-0.5,-12.8,-9.9,21,10,"LOC647357"
53.8,79.1,44.2,22.8,88.3,92.2,"GRB10"
-2.1,-7.5,13.2,5.9,1.8,9.6,"LOC647049"
-8.7,-8.3,-9.7,-3.9,6.6,16.4,"PRAMEF1"
-1.5,-8.7,89,18.1,1.1,-12.5,"LLGL2"
217.6,255.5,194.4,207,373.8,376.8,"FAM89A"
-20.8,-4.7,5.3,5.5,8.4,-12.2,"LOC652616"
27.8,19.1,12.4,6.3,0,15.2,"LOC642595"
-11.3,-8.7,10.1,5,-8.5,-9.5,"LOC440104"
89.8,46.5,45.8,39.9,130.4,112.2,"LOC202134"
18.6,2.5,-11.7,-4.2,-3.3,3.7,"SHH"
-2.4,1.3,0.7,-12.8,17.9,27.9,"FAM131B"
15.5,20,8.2,3.8,14.7,10.3,"LOC647102"
7,-3.1,-2.6,-13.6,6.5,7.3,"FLJ20972"
18,4.8,-1.9,13.2,40.8,3.6,"LOC648815"
-6.2,-20.1,-11.5,-13.2,-2.5,0,"C10orf111"
20.1,27.1,79.6,57.8,-11.8,-6.2,"THEX1"
10.9,24.9,-2.8,1.8,38.6,16.8,"TMCO5A"
23.3,12.4,36.3,31.6,113,161.1,"LOC648758"
1078.1,1097.8,519.7,492.7,2642.7,2512.4,"C14orf2"
-9.8,-1.4,-3.4,-1.8,2.9,-1.1,"GLT8D1"
-1.1,3.9,-4.9,-2.9,18.1,-0.9,"ANK2"
-12.7,-1.6,10,-5.8,6.2,-4.5,"HTR7"
166.2,168,180.7,128.1,94.7,97.5,"RFXAP"
65.8,98.7,55.7,52,-9.3,1.1,"RPS6KA3"
-11.6,4.6,15.1,-10.6,1.4,-3.2,"LOC646871"
2.2,-11.6,1.3,7.3,11.7,-11.9,"LOC389786"
-14.6,-9.7,20.7,-8.9,3.8,-7,"LOC642257"
20.9,4,28.3,9.4,54.1,28.9,"LOC644631"
216.5,179.9,129.8,161.8,515.7,475.5,"ERF"
523.3,483.7,569.9,622.4,1083.4,1094.8,"PAAF1"
1859.4,1979.3,2210.2,2102.7,2698.4,2779.9,"ZNF428"
-4.8,-4,-11.4,-3.5,20.9,18.1,"LOC643878"
-1.1,8.6,10.4,10.4,52.1,-9.5,"LOC647579"
22.7,-2.9,1.6,-15.2,6.7,16.5,"LOC653203"
363.4,387,234.8,183,594.5,599.1,"HIC2"
105.7,95.6,85.1,92.8,126.3,96.2,"LOC389203"
24179.8,23749.5,25041.6,23460.2,24283.9,24877.4,"LOC440589"
60.7,62.1,107.6,86.3,268.9,275.9,"CDC42EP2"
-4.1,-5.4,-8.1,-11.3,-7.1,13.1,"TMOD2"
-1.5,14.2,3.1,-6.2,28.9,10.4,"MUCDHL"
-11.5,0.8,6.5,-12.9,-8.1,-4.4,"LOC338805"
263.9,267.9,1.8,9.7,103.6,47.9,"PIK3AP1"
104.6,116.5,167.2,166.2,3.8,30.8,"CLK1"
-4.2,-16.3,238.1,221.4,74.8,118.3,"FAM174B"
10.9,-12.2,10.2,-11.1,63.4,9.4,"LOC441873"
863.9,1103.8,709.5,800.8,1368,1232.7,"ATP5J"
7.8,-2.8,-1.4,0.5,-5.2,4.3,"HOXA3"
-8.6,-12.3,-8.6,0.7,-0.7,-6.3,"LOC643191"
12,19.6,44.4,45.4,97.3,39.3,"OPA3"
-5,2.6,-11.4,-2.9,-4.8,-8.5,"IL10RA"
0.5,-1.9,-13.7,-18.3,7.3,-5.6,"LRRC17"
-11.8,-6.4,-5.5,-0.4,7.5,-16.2,"LOC644010"
235.1,175.2,302.5,254,466.4,415.9,"PCYT2"
