ID_REF	MiaPACA2_EV	MiaPACA2_EV.Detection_Pval	MiaPACA2_ARHGEF10	MiaPACA2_ARHGEF10.Detection_Pval	Hs766T_shGFP	Hs766T_shGFP.Detection_Pval	Hs766T_shARHGEF10	Hs766T_shARHGEF10.Detection_Pval	
ILMN_1758392	124.4	0.02069	275.9	0.48276	397.7	0.01379	145.8	0.06897	
ILMN_1679647	108.6	0.55517	306.1	0.11724	293.1	0.63793	134.4	0.26207	
ILMN_1752303	7157.4	0	18727.7	0	19034.5	0	9050.5	0	
ILMN_1742827	444	0	4523.5	0	5278.6	0	593.8	0	
ILMN_1657194	113.1	0.27586	502.9	0	665.2	0	131.9	0.3069	
ILMN_1711275	105.8	0.73448	290.3	0.26207	306	0.41034	139.9	0.15172	
ILMN_1665622	305.6	0	2879	0	3103.7	0	480.1	0	
ILMN_1811632	888.1	0	506.4	0	1016	0	146.8	0.05862	
ILMN_1696512	120.3	0.06552	499	0	527.5	0.0069	130.9	0.32414	
ILMN_1676003	108.5	0.56897	328	0.01724	375.3	0.02414	118.9	0.7	
ILMN_1688848	236.2	0	3192.5	0	2673.3	0	309.5	0	
ILMN_1653443	133.1	0	2460.2	0	2273.3	0	144.3	0.08621	
ILMN_2245241	103.4	0.83793	280.3	0.38966	304.4	0.43103	134.2	0.26897	
ILMN_2412807	9356.5	0	27498.5	0	27592	0	12265.5	0	
ILMN_3246292	4251.6	0	15522.3	0	14769.9	0	4271.8	0	
ILMN_1808457	113.3	0.26552	290.2	0.26207	368	0.02414	137.6	0.1931	
ILMN_1731181	1706.4	0	19990.7	0	24046.1	0	3686.4	0	
ILMN_1771260	112	0.34828	557.8	0	378	0.01724	145.7	0.06897	
ILMN_2209260	105.6	0.74483	262.6	0.73103	307.3	0.38621	107.3	0.98621	
ILMN_1786069	108.1	0.58621	270	0.58621	346.2	0.08276	122.5	0.58276	
ILMN_1664167	1658.9	0	16730.5	0	15519.9	0	1698.5	0	
ILMN_3242371	122.7	0.02414	256.4	0.86207	296.4	0.58276	122.6	0.58276	
ILMN_2253272	121	0.04828	5292.7	0	4757.5	0	158.7	0.01724	
ILMN_2115991	112.1	0.34138	479.6	0	332	0.15862	125.2	0.48276	
ILMN_1691466	3816.2	0	23513.6	0	18683.7	0	2246.4	0	
ILMN_1742123	105	0.77586	300.2	0.15517	386.2	0.01379	130.8	0.32414	
ILMN_2157843	112.1	0.33793	332.8	0.01724	1126.7	0	130.9	0.32414	
ILMN_2255142	102.4	0.87586	271.2	0.57241	305.2	0.41379	122.4	0.58276	
ILMN_1735168	121.6	0.03448	293.5	0.20345	318.6	0.26552	160.1	0.01724	
ILMN_1754304	1699.3	0	11191.3	0	10344.5	0	2205.3	0	
ILMN_1674343	122.4	0.02414	293.1	0.21034	677.5	0	139.4	0.15517	
ILMN_1666665	111.8	0.36552	291.9	0.24138	336	0.13448	146.6	0.06207	
ILMN_2223772	107.4	0.63103	363.6	0.00345	337.4	0.12759	124	0.51724	
ILMN_1758324	113.6	0.24828	285.1	0.33448	405.4	0.01034	126.6	0.44483	
ILMN_2408908	5075.1	0	18193.2	0	17915.2	0	5250.8	0	
ILMN_1661314	110.8	0.41034	297.7	0.16897	3298.4	0	219.4	0	
ILMN_1737517	5791.9	0	18637.5	0	13351.5	0	2558	0	
ILMN_2382354	134.8	0	1934.7	0	1726.5	0	150.2	0.05517	
ILMN_1810832	180.5	0	2147.3	0	4313.5	0	619.7	0	
ILMN_1739683	127.9	0.0069	579.9	0	1435.7	0	140.3	0.13793	
ILMN_1758619	116.3	0.15172	305.9	0.11724	319.5	0.25172	123.5	0.55172	
ILMN_1652439	104.6	0.78276	274.3	0.5069	358.4	0.04483	138.5	0.17241	
ILMN_1782750	165.6	0	284.4	0.33448	5120.6	0	1076.2	0	
ILMN_1802104	108.4	0.57241	300	0.15862	252.7	0.9931	112.4	0.94138	
ILMN_2109708	217.1	0	1540.3	0	5850	0	272.7	0	
ILMN_1701869	310.8	0	8771.7	0	7387.9	0	371	0	
ILMN_3308048	109.6	0.49655	288.8	0.28276	348.2	0.07586	161.8	0.01724	
ILMN_2384133	136.1	0	2898.3	0	4001.4	0	171.4	0.01034	
ILMN_1714349	1489.3	0	8420.2	0	13569.2	0	3677.2	0	
ILMN_1685403	237.9	0	281.8	0.35862	705.8	0	190.5	0.00345	
ILMN_2364357	630.8	0	12534.8	0	19220.9	0	1525.9	0	
ILMN_2405756	129.2	0.00345	1979.6	0	1914.9	0	171.5	0.01034	
ILMN_2051900	144	0	1898	0	1704.8	0	181.4	0.00345	
ILMN_1810727	150.4	0	1725	0	3778.3	0	193.9	0.00345	
ILMN_1723274	105.2	0.75517	287.4	0.3	275.4	0.87586	129.3	0.34828	
ILMN_1689829	141.4	0	323.9	0.02069	1110.3	0	203.8	0.00345	
ILMN_3310103	97.4	0.96897	297	0.17241	307.4	0.37931	117.3	0.7931	
ILMN_1652085	11156.1	0	19435.5	0	19978.6	0	12804.2	0	
ILMN_1752214	140.8	0	272.6	0.54828	294.9	0.6	128.9	0.35862	
