"","GENE_SYMBOL","UL_mean","nonUL_mean","DE_UL","Magnitude","FoldChange_UL"
"DCX","DCX",565.969285714286,43.2509803921569,522.718305322129,522.718305322129,13.0856984184552
"LAMP1","LAMP1",2820.59321428571,3343.21176470588,-522.618550420169,522.618550420169,0.843677700605918
"EIF3E","EIF3E",3355.72214285714,3876.97908496732,-521.256942110179,521.256942110179,0.865550746938173
"PIGT","PIGT",579.974523809524,1099.83496732026,-519.860443510737,519.860443510737,0.527328682068209
"FAM127B","FAM127B",582.465714285714,1101.6068627451,-519.141148459384,519.141148459384,0.528741907829318
"IL4R","IL4R",731.575714285714,1249.75490196078,-518.17918767507,518.17918767507,0.585375350909144
"S100A10","S100A10",1472.60785714286,1989.45980392157,-516.851946778712,516.851946778712,0.740204880862682
"CAPN2","CAPN2",1482.68285714286,968.401960784314,514.280896358543,514.280896358543,1.53106139514838
"PBX1","PBX1",2131.64226190476,1619.74803921569,511.894222689077,511.894222689077,1.31603324115579
"ITGA7","ITGA7",611.936428571429,1122.91274509804,-510.976316526611,510.976316526611,0.544954566810978
"CSNK1E","CSNK1E",426.299285714285,936.858496732025,-510.55921101774,510.55921101774,0.455030601954632
"LEPROT","LEPROT",742.3875,1252.03235294118,-509.644852941176,509.644852941176,0.592945939660456
"GAPDH","GAPDH",5668.61523809524,5159.13725490196,509.477983193276,509.477983193276,1.09875255454954
"TUBB","TUBB",2611.68761904762,2103.41699346405,508.270625583566,508.270625583566,1.24164044845265
"EDF1","EDF1",1167.07571428571,659.221568627451,507.854145658263,507.854145658263,1.77038460182007
"HIST1H4E","HIST1H4E",748.07,241.411764705882,506.658235294118,506.658235294118,3.09873050682262
"PSMB1","PSMB1",2037.26714285714,2543.3045751634,-506.037432306254,506.037432306254,0.801031525186578
"MXRA8","MXRA8",848.465,1354.23431372549,-505.76931372549,505.76931372549,0.626527471206868
"LDHB","LDHB",5144.57,4639.41078431373,505.159215686274,505.159215686274,1.10888434742495
"ATP6V0C","ATP6V0C",1105.45857142857,1609.92352941176,-504.464957983193,504.464957983193,0.686652844829522
"MZT2B","MZT2B",1622.47571428571,2126.0908496732,-503.615135387487,503.615135387487,0.763126239189214
"BAG1","BAG1",433.698095238095,937.271568627451,-503.573473389356,503.573473389356,0.462724048989565
"CDKN1C","CDKN1C",1070.48928571429,1573.27450980392,-502.785224089636,502.785224089636,0.680421171921044
"MMP11","MMP11",615.012619047619,113.670588235294,501.342030812325,501.342030812325,5.41048153788529
"TMSB4X","TMSB4X",10383.7146428571,9885.00098039216,498.713662464987,498.713662464987,1.05045155417326
"HLA-G","HLA-G",2331.52523809524,2829.9318627451,-498.406624649859,498.406624649859,0.823880344537202
"VHL","VHL",2406.11285714286,2904.04607843137,-497.933221288516,497.933221288516,0.828538112743214
"PIK3R1","PIK3R1",1035.67047619048,540.428431372549,495.242044817927,495.242044817927,1.91638784354876
"PODXL","PODXL",995.134285714286,1489.5431372549,-494.408851540616,494.408851540616,0.668080205819506
"RPL35","RPL35",7789.605,8283.34656862745,-493.74156862745,493.74156862745,0.940393467237329
"SCGB2A1","SCGB2A1",9.58857142857143,502.113725490196,-492.525154061625,492.525154061625,0.0190964137043066
"PKN2","PKN2",968.822023809524,1461.04068627451,-492.218662464986,492.218662464986,0.663104068840076
"NCOR2","NCOR2",1696.78285714286,2187.78392156863,-491.00106442577,491.00106442577,0.775571499733061
"DNAJB5","DNAJB5",1033.86857142857,1519.53823529412,-485.669663865546,485.669663865546,0.680383387146856
"ARHGAP33","ARHGAP33",900.317619047619,1385.48562091503,-485.168001867414,485.168001867414,0.649820976455182
"PPAP2A","PPAP2A",2108.57928571429,2593.39705882353,-484.817773109244,484.817773109244,0.813056866298301
"ADCY3","ADCY3",272.008571428571,755.105882352941,-483.09731092437,483.09731092437,0.360225734940617
"ITM2B","ITM2B",2842.39357142857,3324.90196078431,-482.508389355743,482.508389355743,0.854880416010245
"HSP90B1","HSP90B1",1180.59928571429,1660.00294117647,-479.403655462185,479.403655462185,0.711203128879748
"TNFAIP2","TNFAIP2",116.706428571429,595.463725490196,-478.757296918767,478.757296918767,0.195992507310759
"CCT4","CCT4",3216.84214285714,3694.59215686275,-477.750014005602,477.750014005602,0.870689376872578
