"GENE_SYMBOL","UL_mean","nonUL_mean","pancreaticMeans","sebumMeans","gliomaMeans"
"GNA14",207.248571428571,207.155882352941,133.9,3.3886,5.75616
"GNA15",29.6828571428571,31.7176470588235,125.1,7.8465,6.47633333333333
"GNAI1",185.662142857143,287.401960784314,132.25,6.71,8.53864666666667
"GNAI2",275.364285714286,302.886274509804,813.3,8.7553,11.7348
"GNAI3",519.034285714286,443.26862745098,674.4,9.8934,10.3761466666667
"GNAO1",54.8994047619048,42.4148692810457,122.166666666667,4.6143,9.12063
"GNAQ",444.650571428571,587.606862745098,197.3,4.5426,11.4770333333333
"GNAS",2366.379,2671.06505446623,4967.56666666667,3.4886,10.7339666666667
"GNAT1",5.62428571428571,5.91470588235294,109.65,2.9373,6.4306
"GNAZ",307.697857142857,523.835294117647,131.2,4.9694,10.01969
"GNB1",893.997380952381,859.509803921569,13383.3,11.4123,12.8873666666667
"GNB2",486.101428571429,461.06862745098,508.8,10.1087,11.0659
"GNB3",76.19,61.621568627451,181.1,4.8767,7.89171333333333
"GNB5",101.463761904762,100.232679738562,179.966666666667,7.2379,8.50431666666667
"GNE",300.03,363.521568627451,492.9,12.0244,9.11388
"GNG10",1064.97857142857,1102.06666666667,3306.9,13.2417,12.2845666666667
"GNG11",766.702857142857,1470.07549019608,111.2,11.0209,9.53043
"GNG12",611.547142857143,649.104575163399,3075.9,8.8767,12.2888666666667
"GNG13",315.96,172.713725490196,111,5.4259,7.25694333333333
"GNG3",32.1785714285714,34.0156862745098,107.3,3.961,7.50956333333333
"GNG4",65.2878571428571,88.1602941176471,182,2.9373,10.2230666666667
"GNG5",1739.51714285714,1386.06078431373,275.1,12.44,11.1513
"GNG7",146.078571428571,92.5032679738562,1118.8,3.2249,10.3823666666667
"GNGT1",12.4128571428571,4.54313725490196,140.5,3.2249,4.19277333333333
"GNL1",98.4268571428571,119.722614379085,1270.3,9.7559,9.44575666666667
"GNL2",309.697142857143,344.725490196078,11592.8,10.8781,10.4717333333333
"GNL3L",138.876071428571,153.756862745098,2053.85,9.0302,9.57250333333333
"GNLY",22.6928571428571,81.5274509803922,111,3.5587,6.12835333333333
"GNMT",10.6385714285714,9.04313725490196,111.4,4.3242,6.76320666666667
"GNPAT",582.72,523.121568627451,5672.9,9.8561,10.19512
"GNPDA1",349.978571428571,235.460784313725,7451.4,7.1728,11.0540666666667
"GNPTAB",122.805190476191,117.183071895425,406.75,9.4449,9.21986333333333
"GNRH1",20.495,23.0529411764706,149.2,5.1637,5.65176
"GNRH2",24.1,28.65,107.8,6.2867,7.41270333333333
"GNRHR",10.2992857142857,12.0578431372549,105.8,1.9818,5.15493
"GNS",400.440952380952,390.667973856209,10637.2,5.0425,11.2647
"GOLGA1",166.566428571429,150.404901960784,114.3,6.9637,8.81281666666667
"GOLGA2",254.099166666667,238.733006535948,519.4,7.9434,8.57477
"GOLGA3",373.844761904762,328.365032679739,2699.6,9.9223,9.10941
"GOLGA4",260.963571428571,290.691176470588,287.1,8.9512,8.65543
"GOLGA5",437.43,449.282352941176,1684.5,8.8717,10.1888666666667
"GOLGA7",906.455,828.623529411765,544.933333333333,11.0056,11.39
"GOLGB1",536.98880952381,529.317320261438,606.6,5.1706,8.30951333333333
"GOLIM4",207.628333333333,200.696732026144,154.4,6.7596,10.9488333333333
"GOLM1",207.725952380952,112.741176470588,691,10.084,11.6592
"GOLPH3",791.384285714286,817.552941176471,2165,10.9712,11.1050333333333
"GOLPH3L",270.136428571429,272.953921568627,2551,8.5839,9.43244333333333
"GOLT1B",276.635,211.291176470588,969,8.3509,9.74686666666667
