"","GSM1399027.CBD","GSM1399028.CTRL","GSM1399029.CBD","GSM1399030.CTRL","GSM1399031.CBD","GSM1399032.CTRL"
"361",6.66078,6.82249,7.06895,7.05925,7.35562,7.42275
"362",7.34616,7.47861,7.5822,7.58286,7.01801,7.0133
"363",6.07437,6.15405,6.33735,6.05517,5.82143,5.76337
"364",5.90197,5.973,6.16827,6.2103,5.65051,5.71144
"365",5.63329,5.91902,5.72708,5.92686,5.917,5.88456
"366",5.05636,5.1703,5.50405,5.4882,4.7367,4.89682
"367",5.67187,5.74267,5.95259,6.17921,5.49052,5.80083
"368",10.8486,10.7958,10.2942,10.3104,10.4721,10.5996
"369",8.86587,9.00321,9.15706,9.00051,9.03212,8.67612
"370",7.05266,6.90838,7.41094,7.46236,6.97976,6.73074
"371",6.37046,6.31871,6.73419,6.32168,5.87565,5.7308
"372",12.0494,12.106,11.73,12.1626,11.5227,11.9415
"373",5.60621,5.68908,4.90517,4.99405,8.67178,8.32105
"374",8.09383,7.75569,6.93805,6.55245,7.73901,6.78355
"375",8.43332,8.5951,8.53502,8.77094,9.57064,10.1445
"376",10.8694,10.8806,11.0611,11.2989,11.3545,11.5579
"377",12.0569,11.9912,11.4949,11.4897,11.2576,11.6765
"378",8.20318,8.23698,7.62275,8.14045,8.43766,8.76229
"379",11.7122,11.7395,11.0035,11.4063,10.8962,10.8621
"380",11.4574,11.4497,10.5887,10.4195,11.4614,11.7564
"381",6.25401,6.54398,6.49687,6.34682,6.07402,5.95605
"382",10.2705,10.25,10.1622,9.97289,10.6977,10.5085
"383",5.56771,5.63009,5.6529,5.71811,5.99596,5.85366
"384",10.1891,10.099,10.0651,9.80369,10.076,9.9402
"385",7.49293,7.55393,7.78866,7.86014,7.8517,7.87201
"386",8.46814,8.39835,8.12657,8.23984,8.80804,8.90369
"387",7.32726,7.50514,7.60613,7.66681,7.18367,7.09338
"388",5.8244,5.82577,5.96206,6.03677,5.51053,5.36967
"389",9.85357,10.0034,9.67277,9.8097,9.57982,9.62507
"390",8.89239,8.59494,8.66917,8.40039,8.38712,8.38953
"391",11.6389,11.5629,11.4042,11.5079,11.087,11.2157
"392",6.89975,6.96677,7.26702,7.15774,6.69851,6.37686
"393",6.6268,6.79347,7.13626,7.03859,7.67887,7.52769
"394",6.75161,6.75611,6.9298,6.9145,6.55058,6.5034
"395",8.73698,8.72272,8.43992,8.93008,7.91016,8.16686
"396",5.4164,5.38916,5.59915,5.40217,5.12528,5.03383
"397",7.23762,7.38144,7.60919,7.48566,6.9591,6.63416
"398",6.46674,6.55382,6.61876,6.57283,6.11586,5.81683
"399",7.63506,7.65682,7.95141,7.83444,7.3779,7.30771
"400",8.19013,8.17393,7.5494,7.9224,9.56313,9.56949
"401",5.17766,5.07899,5.21406,5.13339,5.00945,4.70202
"402",7.53785,7.5905,7.59567,7.73761,7.50845,7.89571
"403",3.7773,3.87083,3.811,3.81599,4.32477,4.48503
"404",11.1967,10.9168,11.3058,10.7907,11.7606,10.8619
"405",7.0014,6.98829,7.17749,7.14118,6.56078,6.42286
"406",6.70015,6.82679,7.22097,7.79629,7.94056,8.20237
"407",7.67071,7.72843,7.21166,6.99139,7.25483,7.50212
"408",4.33288,4.28423,4.12348,4.16884,4.34715,4.13849
"409",10.314,10.2959,10.009,9.75909,9.35002,9.28329
"410",3.64377,3.61246,3.60901,3.71057,3.74416,3.57745
"411",9.60246,9.32239,9.1222,8.69203,8.70953,8.69119
"412",7.19623,7.3813,7.44724,7.49925,7.65428,7.72161
"413",8.71366,8.45068,8.42697,8.43931,8.14805,8.36057
"414",8.9945,8.6859,8.7738,8.44579,8.75603,8.96711
"415",2.29516,2.5794,2.20893,2.05579,3.12349,2.89346
