"GENE_SYMBOL","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr"
"RCOR3",203.617738095238,180.076633986928,10.16876,9.91671333333333,7.2672,7.35421,1814.1,9625.2,-10668.6,6.30577145692079,0.142471324882848
"RCVRN",13.2914285714286,13.2941176470588,6.00598,6.00772333333333,3.6411,3.61357,112.4,180.1,-432.1,2.60231316725979,0.279833333333333
"RDH11",328.945833333333,343.913562091503,10.1901566666667,10.3004366666667,11.0502,11.155565,460.4,5885.5,-4955.75,13.7834491746308,0.101706589811215
"RDH16",21.57,22.2666666666667,6.45691,6.3825,4.9886,5.049925,151.5,291.8,-536.7,2.92607260726073,0.21603856266433
"RDH8",17.1271428571429,18.4509803921569,6.78898,6.72671666666667,3.3886,3.313889,100,201.2,-246.3,3.012,0.363730302247481
"RDX",280.55380952381,336.262091503268,11.3025,11.3584333333333,8.6042,8.614849,294,5852.3,-6932.8,20.9057823129252,0.059615045508186
"REC8",118.471428571429,80.6,8.3771,8.73629333333333,10.4792,10.152156,217.65,2025.5,-3488.1,10.3062255915461,0.0772954527418459
"RECK",195.18180952381,281.458496732026,8.48835666666667,8.63305666666667,5.7251,5.088079,144.4,140.35,-5260.55,1.97195290858726,0.101313721470548
"RECQL",248.547857142857,242.052941176471,8.72105666666667,8.91075666666667,9.3796,9.681974,1429.53333333333,5986.56666666667,-6030.33333333333,5.18777689688943,0.142334295724235
"RECQL4",23.7621428571429,18.8617647058824,7.99341666666667,8.27719333333333,11.8043,11.709215,157.3,2430.7,-5273.6,16.4526382708201,0.0364862148977765
"REEP1",572.600714285714,331.540196078431,8.99172666666667,9.45732333333333,5.31,5.206363,472.7,1645.5,-670.5,4.48106621535858,0.353984006166297
"REEP2",157.405714285714,227.333333333333,9.68451,9.73953,9.5822,9.463995,132,7179,-2010,55.3863636363636,0.0507225843015018
"REEP4",108.322857142857,110.605882352941,8.82838333333333,8.88657,9.8282,9.811062,1125.7,9381,-9612.8,9.33348138935773,0.173412442495378
"REEP5",815.574285714286,1067.48823529412,11.7034,11.6970333333333,11.4334,11.213137,8271.7,17927.9,-12726,3.16737792714919,0.573919565013593
"REG1A",11.1428571428571,11.9019607843137,4.93399333333333,4.95955,3.3886,3.706272,127.8,142.9,-201.6,2.11815336463224,0.402666666666667
"REG1B",13.78,19.9803921568627,4.80534666666667,4.70877333333333,3.5271,3.769096,111.9,173,-261.6,2.54602323503128,0.321752657505834
"REG3A",15.5357142857143,20.15,3.87233333333333,3.96509333333333,4.0035,4.00252,110.35,181.8,-188.6,2.64748527412778,0.40905530314899
"REL",74.0851428571429,67.9525490196078,8.19521,8.10803333333333,6.5831,6.517475,887.65,7435.15,-5909.75,9.37621810398242,0.10134955331686
"RELB",301.194285714286,392.388235294118,8.30697,8.01316333333333,12.6764,13.381709,375,4370.3,-7936.1,12.6541333333333,0.0922494452451216
"RELN",46.4985714285714,58.8843137254902,6.49449,6.55677666666667,3.0299,2.289684,112.9,174,-220.25,2.54118689105403,0.350869437076334
"REM1",96.1242857142857,95.0823529411765,7.35376666666667,7.33068,3.757,3.706272,107.5,167.1,-233.4,2.55441860465116,0.331232091690544
"REN",33.3078571428571,22.1401960784314,5.83719333333333,5.84880333333333,3.4544,3.641099,105.6,144.8,-155.9,2.37121212121212,0.433090909090909
"RENBP",9.56142857142857,9.50392156862745,8.20812666666667,7.65026,3.9433,3.769096,171.6,361.9,-525.3,3.10897435897436,0.277739584765571
"REPS2",89.9895238095238,95.6869281045752,6.82026666666667,6.82955333333333,6.9246,7.250098,134.471428571429,358.985714285714,-634.342857142857,3.66960586423032,0.181025101901547
"RER1",319.489285714286,317.080718954248,10.7425333333333,10.608,5.7527,5.650185,331.65,1632.15,-3925.2,5.921302578019,0.1781320993729
"RERGL",68.7042857142857,261.090196078431,4.51631333333333,4.59788,2.5009,2.052759,124.7,129.7,-356.2,2.04009623095429,0.258534554537885
"REST",143.262380952381,124.332026143791,9.46531666666667,9.58237666666667,6.8882,6.967439,937.4,12138.4,-13245,13.9490078941754,0.148280806898636
"RET",22.3721428571429,24.6140522875817,6.64485,6.84121666666667,2.9891,2.382856,132.933333333333,1244.46666666667,-235.133333333333,10.3615847542628,0.34787833965055
"RETN",13.8471428571429,17.6941176470588,7.74370666666667,7.77141333333333,4.0035,3.83126,119.9,177.1,-182.7,2.47706422018349,0.401963993453355
"RETSAT",164.097142857143,149.349019607843,9.62116,9.66633,6.7932,6.766768,475.7,9120.7,-9190.3,20.1732184149674,0.0619462703629608
"REV1",230.453928571429,195.483333333333,8.59346666666667,8.60503666666667,6.6926,6.890332,674.5,10506,-8915.15,16.5759822090437,0.0586151368760064
"REV3L",1470.37714285714,1358.72647058824,10.2089,10.9360666666667,6.7843,6.952577,517.2,10640.5,-9107.6,21.573279195669,0.104358429706553
"REXO2",1152.07785714286,1442.89166666667,9.74126333333333,9.15750666666667,13.3075,13.289052,4047.7,13228.2,-14462.1,4.26807816784841,0.415086632261822
"REXO4",104.951428571429,96.9823529411765,7.42137,7.33711333333333,8.271,8.468808,714.2,4338.5,-6172,7.07462895547466,0.242504203537108
"RFC1",252.241666666667,277.587254901961,10.09356,10.1678733333333,10.2567,10.392619,838.35,5030.35,-4828.85,7.00029820480706,0.179903704898822
"RFC2",87.545,62.8941176470588,11.1166666666667,11.2938333333333,9.3693,9.632075,1178.4,7069.9,-4350.85,6.99957569585879,0.243968131228442
"RFC3",71.3828571428571,61.5019607843137,9.64931333333333,10.26077,8.6227,8.622859,2510.56666666667,10914.0666666667,-11113.0666666667,5.34725228036167,0.172804616922928
"RFC4",380.548571428571,259.305882352941,11.7474666666667,11.9488,12.3364,12.61574,7233.1,18569.4,-13012.6,3.56728097219726,0.275645164881655
"RFK",144.959285714286,176.125490196078,10.3698,10.2382,8.9502,8.947845,256.05,3702.2,-4755.4,15.4588947471197,0.057907561859857
"RFNG",175.493571428571,159.446078431373,9.42316666666667,9.10023333333333,6.9525,6.74204,479.45,5835.775,-5255.55,13.1718114506205,0.132171120257267
"RFWD3",54.1142857142857,47.4058823529412,9.69299,10.0167933333333,9.0721,9.210949,3528.6,17786.9,-16404.7,6.04078104630732,0.174901041640471
"RFX1",99.4764285714286,83.7225490196078,7.83654333333333,7.68847,4.2161,4.157538,238.5,2358,-3226.5,10.8867924528302,0.0984408181513356
"RFX2",113.101904761905,310.501960784314,8.22710333333333,7.90758333333333,7.6306,7.881694,134.1,1397.6,-1741.5,11.4220730797912,0.102227033714816
"RFX3",49.8094047619048,42.1996732026144,7.89723666666667,7.89283,4.9487,5.333452,158.225,908.375,-1196.725,6.74103333860009,0.124288824250407
"RFX4",7.11142857142857,7.75947712418301,8.44915666666667,9.08407666666667,3.4231,3.641099,106.8,187.6,-189.74,2.7565543071161,0.414671767028628
"RFX5",283.549285714286,206.923529411765,9.73264666666667,10.0138266666667,10.1347,9.861171,1262.05,7300.95,-8732.1,6.78499267065489,0.230679095009867
"RFX7",211.885714285714,150.098039215686,9.72991333333333,10.00901,7.9349,7.90445,1053.3,5248.7,-4927.1,5.98310073103579,0.223675295823026
"RFXANK",329.801428571429,347.343137254902,9.24708333333333,9.36440666666667,11.9512,11.828582,683.333333333333,6322.53333333333,-6749.36666666667,10.252487804878,0.157638337084448
"RFXAP",70.7657142857143,64.178431372549,7.24534666666667,7.40572333333333,6.0706,6.112986,289.95,1995.05,-1685.75,7.88066908087601,0.152655256477921
"RGL1",457.752857142857,606.172549019608,10.30503,10.3527466666667,7.7533,7.428712,680.4,97.7,-8990.7,1.14359200470312,0.264299625222984
"RGL2",399.871428571429,383.305882352941,9.75999333333333,9.67241333333333,7.9998,8.13791,2369.9,12428.7,-10306.1,6.24439849782691,0.318027818583661
